process,counts_genome,counts_significant,counts_identified,p-value(sign vs genome),p-value(sign vs identified)
Amino acid biosynthesis,97.0,48.0,71.0,2.437515588500352e-11,0.004374933439103392
"Biosynthesis of cofactors, prosthetic groups, and carriers",125.0,31.0,71.0,0.09265847347271164,0.9392174063717535
Cell envelope,67.0,19.0,39.0,0.054978775460752104,0.7144440045347554
Cellular processes,80.0,29.0,48.0,0.0003651395144896077,0.1456642933209505
Central intermediary metabolism,31.0,10.0,21.0,0.06798876167094257,0.730965158387013
"DNA replication, restriction, modification, recombination, and repair",75.0,12.0,28.0,0.8321794490352279,0.8767048253523403
Energy metabolism,93.0,33.0,62.0,0.0002325028271915023,0.46725135716653254
"Fatty acid, phospholipid and sterol metabolism",39.0,17.0,23.0,0.0005480468806927728,0.025781475610779005
Hypothetical,1277.0,198.0,408.0,0.9999991917494154,0.9533725321386334
Other categories,369.0,48.0,108.0,0.9998611761640883,0.9568048117482217
Photosynthesis and respiration,143.0,52.0,79.0,1.6281631465540994e-06,0.007094809468553926
"Purines, pyrimidines, nucleosides, and nucleotides",43.0,15.0,33.0,0.013910415918545445,0.8228184960291269
Regulatory functions,156.0,27.0,60.0,0.8082255974283241,0.889803884673941
Transcription,30.0,13.0,17.0,0.002617231238924793,0.03412133992700892
Translation,168.0,82.0,128.0,3.1555669840823338e-18,0.0024436629468020574
Transport and binding proteins,200.0,28.0,53.0,0.9879287924678004,0.5014202704518105
Unknown,679.0,62.0,146.0,1.0,0.9937912663964228
